"SnapshotDate","SnapshotTimestamp","ItemName","ItemKind","WorkspaceName","CU(s)","Duration(s)","Operations"
"2026-08-03","2026-08-03 15:00:31","Universal_SemanticModel_Refresh_WithPolling","SynapseNotebook","LH_Master_Data","227753.65","25493.32","213"
"2026-08-03","2026-08-03 15:00:31","parts-lookup-app","SQLDbNative","RP - Fabric Apps","180917.37","86340.51","1949"
"2026-08-03","2026-08-03 15:00:31","Inspections","Dataset","RP - Service Reports","108990.72","5441.58","626"
"2026-08-03","2026-08-03 15:00:31","Bin Location Report","Dataset","RP - Parts Reports","1007.13","119.98","179"
"2026-08-03","2026-08-03 15:00:31","parts-lookup-app","AppBackend","RP - Fabric Apps","24.13","0.39","387"
"2026-08-03","2026-08-03 15:00:31","parts-lookup-app","AppBackend","RP - Fabric Apps","0","0","4"
"2026-08-03","2026-08-03 15:23:29","Universal_SemanticModel_Refresh_WithPolling","SynapseNotebook","LH_Master_Data","227753.65","25493.32","213"
"2026-08-03","2026-08-03 15:23:29","parts-lookup-app","SQLDbNative","RP - Fabric Apps","182421.05","87180.51","1963"
"2026-08-03","2026-08-03 15:23:29","Inspections","Dataset","RP - Service Reports","108990.72","5441.58","626"
"2026-08-03","2026-08-03 15:23:29","Bin Location Report","Dataset","RP - Parts Reports","1007.13","119.98","179"
"2026-08-03","2026-08-03 15:23:29","parts-lookup-app","AppBackend","RP - Fabric Apps","24.13","0.39","387"
"2026-08-03","2026-08-03 15:23:29","parts-lookup-app","AppBackend","RP - Fabric Apps","0","0","4"
"2026-08-04","2026-08-04 08:01:54","Universal_SemanticModel_Refresh_WithPolling","SynapseNotebook","LH_Master_Data","216090.93","24064.87","193"
"2026-08-04","2026-08-04 08:01:54","parts-lookup-app","SQLDbNative","RP - Fabric Apps","184973.77","86640.54","1989"
"2026-08-04","2026-08-04 08:01:54","Inspections","Dataset","RP - Service Reports","103871.89","5175.34","439"
"2026-08-04","2026-08-04 08:01:54","Bin Location Report","Dataset","RP - Parts Reports","1007.13","119.98","179"
"2026-08-04","2026-08-04 08:01:54","Pipeline_SM_Refresh_TEST","Pipeline","LH_Master_Data","161.28","641.9","8"
"2026-08-04","2026-08-04 08:01:54","parts-lookup-app","AppBackend","RP - Fabric Apps","21.71","0.36","358"
