"SnapshotDate","SnapshotTimestamp","WindowDays","AvgUtilizationPct","PeakUtilizationPct"
"2026-08-03","2026-08-03 15:23:29","14","39.29","200"
"2026-08-04","2026-08-04 08:01:54","14","39.47","200"
"2026-08-05","2026-08-05 08:01:43","14","40.32","200"
"2026-08-05","2026-08-05 13:30:20","14","40.47","200"
"2026-08-06","2026-08-06 08:02:13","14","42.14","200"
"2026-08-06","2026-08-06 13:13:18","14","43.32","200"
"2026-08-07","2026-08-07 08:01:55","14","45.95","200"
"2026-08-10","2026-08-10 08:02:00","14","46.89","200"
"2026-08-11","2026-08-11 08:01:57","14","48.01","200"
"2026-08-12","2026-08-12 08:02:01","14","51.52","200"
